English,Phiên âm,Nghĩa,Trình độ
Hello,hə'ləu,xin chào,Beginner
Help,help,giúp đỡ,Beginner
Water,ˈwɔːtər,nước,Beginner
Beautiful,ˈbjuːtɪfl,đẹp,Intermediate
Pronunciation,prəˌnʌnsiˈeɪʃn,phát âm,Intermediate
Understand,ʌndərˈstænd,hiểu,Intermediate
Computer,kəmˈpjuːtər,máy tính,Intermediate
Interesting,ˈɪntrəstɪŋ,thú vị,Intermediate
Difficult,ˈdɪfɪkəlt,khó khăn,Beginner
Adventure, /_d_ven.t__r/, cuộc phưu lưu
Journey, /_d___r.ni/, hành trình
Success, /s_k_ses/, thành công
Knowledge, /_n_l._d_/, kiến trúc
Freedom, /_fri_.d_m/, tự do
